,Date,Agric eggs medium size,Agric eggs(medium size price of one),"Beans brown,sold loose",Beans:white black eye. sold loose,Beef Bone in,"Beef,boneless",Bread sliced 500g,Bread unsliced 500g,Broken Rice (Ofada),Chicken Feet,Chicken Wings,Evaporated tinned milk carnation 170g,"Evaporated tinned milk(peak), 170g",Frozen chicken,"Gari white,sold loose","Gari yellow,sold loose",Mudfish (aro) fresh,Mudfish : dried,Onion bulb,Rice agric sold loose,Rice local sold loose,Rice Medium Grained,"Rice,imported high quality sold loose",Tomato,Yam tuber,Dried Fish Sardine,Iced Sardine,Irish potato,Sweet potato,Tilapia fish (epiya) fresh,Titus:frozen,Catfish (obokun) fresh,Catfish :dried,Catfish Smoked,Mackerel : frozen,"Groundnut oil: 1 bottle, specify bottle",Maize grain white sold loose,Maize grain yellow sold loose,"Palm oil: 1 bottle,specify bottle",Plantain(ripe),Plantain(unripe),"Vegetable oil:1 bottle,specify bottle",Wheat flour: prepacked (golden penny 2kg),State,Month,Year,Region
0,2017-01-01,459.977222222222,45.1071428571429,471.22,420.764285714286,1107.67083333333,1378.39583333333,334.257857142857,291.791666666667,472.0,774.76,1060.095,158.16,177.027142857143,1459.485,270.931875,310.090714285714,904.04,2642.632,253.459166666667,440.703571428571,363.70375,443.03,460.38,309.656428571429,183.68375,1759.8,886.66,249.69,116.168333333333,894.65,844.4375,1058.91,2233.67375,2067.47,1017.425,555.87,201.39,201.07,350.98,249.78,203.38,388.39,645.92,ABIA,1,2017,South_East
1,2017-02-01,485.809523809524,44.5135746606335,436.72,375.090497737556,955.094825174825,1304.71729166666,340.277777777777,289.166666666667,450.0,731.25,900.0,140.0,175.0,1509.72222222221,267.459879807692,284.4065625,1015.22,2907.82875,208.271666666667,393.007692307692,382.846333333332,423.176043956043,447.741722222222,306.308749999999,172.48940340909,1840.48395833333,935.020357142856,293.965,116.007666666666,895.634115,850.75204545454,1034.755,2333.03446428571,1747.22,1055.73457386363,506.66,200.0,217.3,372.42,242.5,193.79,370.77,648.33,ABIA,2,2017,South_East
2,2017-03-01,519.565217391304,46.4,415.625,400.24154589372,981.257776669541,1129.16079598002,340.0,286.363636363636,462.645,735.71428571429,920.0,145.0,175.8,1488.23529411765,286.95652173913,308.30756302521,1059.63,2984.7442680776,267.402663118886,386.209139697512,366.181818181818,390.30303030303,427.636363636364,333.333333333333,179.100943464883,1524.31,839.435,299.075,112.68,1052.63,939.99,1100.0,2385.68,1854.355,929.77,526.67,190.23,224.88,347.14,275.18,221.19,396.66,650.0,ABIA,3,2017,South_East
3,2017-04-01,520.608695652174,48.1481481481481,394.14466130884,391.872427983539,969.967862825006,1362.46961563586,340.769230769231,304.166666666667,465.0,777.777777777778,904.705882352941,150.0,192.8,1504.7619047619,334.618437118437,350.146031746032,1060.0,2992.76895943563,226.333973044499,379.383116883117,302.874902874903,378.181818181818,421.234567901234,341.971445008529,196.726946208588,1543.90722222222,863.154285714286,302.716666666667,115.502142857143,1052.63,930.259761904762,1100.0,2399.98875,1722.48083333333,938.892142857143,557.78,200.38,238.1,390.75,250.73,205.83,403.99,627.77,ABIA,4,2017,South_East
4,2017-05-01,559.655172413793,47.741935483871,474.193548387097,470.3125,996.492745478547,1499.91374279634,371.052631578947,275.0,520.0,779.04761904762,916.66666666667,156.76,200.625,1541.66666666667,339.652743450321,353.035714285714,1100.25,3035.66433566434,226.129312599893,383.205741626794,321.668295861844,389.220779220779,435.855614973262,421.326291060609,254.445556266733,1596.77739702821,880.622389165439,302.650343912893,114.795027233976,935.268297049873,920.116785913456,1124.68857918996,2390.76781063723,1963.57092767576,989.46277422649,593.33,200.0,229.94,405.83,226.64,200.0,413.71,631.94,ABIA,5,2017,South_East
5,2017-06-01,563.928571428571,48.4375,465.898617511521,466.748768472906,990.955056588909,1353.12320769554,353.888888888889,275.882352941176,486.99,780.0,925.0,160.0,193.636363636364,1523.07692307692,407.380952380952,425.647321428571,1098.25,2892.92517006803,228.547919167667,376.884635832004,324.143593701429,383.759398496241,421.25517410876,499.76179334779,247.698372099695,1601.27,1047.77,305.615,118.86,936.297092176628,912.555,1135.0,2204.215,1787.365,1028.19,606.67,205.02,230.63,423.95,230.06,208.99,428.57,628.12,ABIA,6,2017,South_East
6,2017-07-01,520.9375,48.125,458.333333333333,463.793103448276,950.230392973886,1356.79505475174,368.75,281.25,503.495,855.555555555556,950.0,170.0,198.666666666667,1478.57142857143,394.147465437788,428.15668202765,1099.25,2895.2380952381,221.441234929286,409.090909090909,344.990208204494,439.665223665223,436.184719535783,530.607358840655,277.677048437421,1584.97,1000.595,292.05,120.805,937.327018978022,924.43,1170.84,2138.89,1783.835,1061.995,500.67,216.99,247.82,436.77,256.77,225.81,450.25,651.43,ABIA,7,2017,South_East
7,2017-08-01,501.481481481481,48.3333333333333,489.0625,484.375,1050.8075,1407.55964285714,340.0,345.625,490.84,875.55666666667,963.33333333333,165.55,193.225806451613,1493.18181818182,394.178997235023,428.190934562212,1100.79,2515.23785714286,338.914666666667,390.925555555555,313.781875,379.353181818182,409.9725,460.53935483871,271.96125,1538.945,954.215,307.05,118.765,952.45,927.785,1154.55,2178.425,1709.82,1055.5,500.0,225.31,261.52,444.68,249.27,197.88,465.39,633.33,ABIA,8,2017,South_East
8,2017-09-01,495.916666666667,46.9565217391304,486.95652173913,468.571428571429,996.219093032349,1481.51180542485,338.571428571429,343.846153846154,490.8792672,865.564387917329,953.33333333333,165.563244,198.695652173913,1493.30127272727,394.210531554802,428.225189836977,1100.8780632,2625.32546818261,342.222222222222,366.666666666667,324.063376237289,375.505050505051,413.237021376556,308.647313885409,223.166040289703,1562.13658016475,966.542980828695,299.464285714286,115.082147729792,945.55,897.654495487313,1000.32,2154.462325,1691.01198,1043.8895,540.84,180.99,189.01,430.56,251.15,199.4,452.22,640.8,ABIA,9,2017,South_East
9,2017-10-01,510.384615384615,47.7777777777778,471.346153846154,457.142857142857,1046.75479422538,1477.19568039141,364.705882352941,347.222222222222,495.78,798.846153846154,952.66590389016,164.75,194.615384615385,1481.25,327.232142857143,354.497354497354,1000.0,2830.59163059163,324.599069512863,337.792207792208,315.78184950278,352.139037433155,403.198653198653,290.483345745806,192.715865260843,1527.71038485324,889.811773638512,291.666666666667,115.895447954601,938.0,840.78988937883,1193.33839918946,2297.29344729345,1678.0,1056.78589825956,607.58,205.32,210.97,424.58,230.4,209.3,429.21,629.06,ABIA,10,2017,South_East
