,Date,AVERAGE PRICES REPORTEDLY PAID BY HOUSEHOLDS ACROSS VARIOUS RURAL AND URBAN MARKETS  AND INFORMAL ARRANGEMENTS NGN,ItemLabels,Agric eggs medium size,Agric eggs(medium size price of one),"Beans brown,sold loose",Beans:white black eye. sold loose,Beef Bone in,"Beef,boneless",Bread sliced 500g,Bread unsliced 500g,Broken Rice (Ofada),Chicken Feet,Chicken Wings,Evaporated tinned milk carnation 170g,"Evaporated tinned milk(peak), 170g",Frozen chicken,"Gari white,sold loose","Gari yellow,sold loose",Mudfish (aro) fresh,Mudfish : dried,Onion bulb,Rice agric sold loose,Rice local sold loose,Rice Medium Grained,"Rice,imported high quality sold loose",Tomato,Yam tuber,State
0,Unnamed: 1,,Unit of Measurement,1 Dozen,1 Piece,1Kg,1Kg,1Kg,1Kg,1 loaf,1 loaf,1Kg,1Kg,1Kg,1 unit,1 unit,1 unit,1Kg,1Kg,1Kg,1Kg,1Kg,1Kg,1Kg,1Kg,1Kg,1Kg,1Kg,ANAMBRA
1,Unnamed: 2,,2016-01-01 00:00:00,340.0416666666665,29.5833333333333,238.0268749999995,223.8684857142855,781.1284999999996,1113.491666666665,241.66666666666652,235,370.22,675.09,776.34,120,131.66666666666652,1116.6666666666652,117.990266666666,136.8564583333325,785.33,2057.14,192.076666666666,207.97841666666602,152.2047916666665,165.0834375,208.807708333333,237.4799999999995,111.58045454545399,ANAMBRA
2,Unnamed: 3,,2016-02-01 00:00:00,343.333333333333,29.79166666666665,242.9471999999995,223.5103846153845,791.6169696969689,1165.176666666665,237.4999999999995,279.1666666666665,371.33065999999997,800,800,120.35999999999999,137.083333333333,1188.3333333333298,129.380633333333,134.022133333333,787.68599,2222.22,195.28371794871748,245.81,174.75528985507202,166.0616666666665,213.8806956521735,222.11282051282,121.4091666666665,ANAMBRA
3,Unnamed: 4,,2016-03-01 00:00:00,356.636904761904,30,264.44479166666645,246.07749999999947,801.1387499999995,1110.19727272727,280.83333333333303,274.58333333333303,360,766.67,800,120.72107999999997,136.041666666666,1243.75,122.717644927536,143.4843840579705,790.0490479699998,1866.67,198.0717948717945,241.734469696969,212.299333333333,239.502692307692,278.37363333333303,230.98820512820453,128.208333333333,ANAMBRA
4,Unnamed: 5,,2016-04-01 00:00:00,367,31.04166666666665,260.9760869565215,245.16874999999948,882.4499999999995,1238.824999999995,250,224.9999999999995,361.08,758.335,800,121.08324323999996,142.028985507246,1020.53571428571,139.259583333333,167.738333333333,792.4191951139097,1866.7,181.536818181818,253.755277777777,203.9666666666665,221.8841666666665,291.43541666666647,299.4884848484845,166.89,ANAMBRA
5,Unnamed: 6,,2016-05-01 00:00:00,362.97619047619,38.977272727272705,274.70522727272703,252.6043939393935,793.8666666666666,1174.159545454545,247.222222222222,232.66666666666652,380.67,700.54,850,130,145.3571428571425,1230,156.9821428571425,206.45869047619,794.7964526992514,1871.7001,125.073333333333,268.644833333333,217.73066666666648,240.685714285714,325.8790773809515,811.90452380952,176.471818181818,ANAMBRA
6,Unnamed: 7,,2016-06-01 00:00:00,391.811594202898,34.89130434782605,313.08992753623147,291.75199275362297,836.107045454545,1143.01541666666,263.6363636363635,296.212121212121,440,762.8199999999999,863.3325,123.333333333333,142.065217391304,1212.5,177.171557971014,211.57340579710097,797.1808420573491,2222.22,213.3912499999995,344.60166666666646,277.8036956521735,285.0827777777775,380.85104166666645,790.3199999999995,230.9266666666665,ANAMBRA
7,Unnamed: 8,,2016-07-01 00:00:00,387.8260869565215,34.4565217391304,315.545119047619,316.800833333333,835.345,1193.645,329.5454545454545,300,441.31999999999994,771.8,757.145,123.673333333333,139.391304347826,1358.3333333333298,194.10735119047553,197.559545454545,799.572384583521,1842.11,170.41291666666598,311.2693928571425,266.39927536231846,293.6766346153845,343.6143749999995,727.247083333333,146.465897435897,ANAMBRA
8,Unnamed: 9,,2016-08-01 00:00:00,391.884057971014,35.8695652173913,332.975227272727,318.2475362318835,971.3532051282045,1207.7607575757552,310.60606060606,269.230769230769,488.24,646.15,867.485,125,140.3787878787875,1383.3333333333298,215.5495833333325,224.06606060606,801.9711017372715,1966.67,178.94272727272698,380.78758333333303,322.97395833333303,357.7355,397.823125,301.41397727272647,159.467727272727,ANAMBRA
9,Unnamed: 10,,2016-09-01 00:00:00,396.875,36.695402298850496,373.248199999999,354.954871794871,911.6524999999999,1236.51923076923,294.1666666666665,321.15384615384596,489.70471999999995,750,862.5,130.42,144.907407407407,1408.88888888889,201.15160714285702,244.1660897435895,804.3770150424832,1966.67,226.8891666666665,419.9949275362315,348.2899999999995,368.639583333333,474.1148148148145,327.903749999999,199.147115384615,ANAMBRA
